id,severity,module,title,evidence,impact,invariant,recommendation,priority,confidence
R1,High,GossipMessageHandler,跨會話重放不受時效窗限制,src/core/mesh/GossipMessageHandler.ts 收訊路徑註解自我揭露(時效窗豁免換補送可靠),持有舊簽章訊息者可在新會話重放使其被重新接受,恰好一次,per-session epoch 或 store floor 跨會話持久延續,P1,高
R2,High,MeshGossipManager/keyx,keyx 失敗退明文相容且僅被動告知,MeshGossipManager initialize 的 ECDH 缺席分支(room stays plaintext),阻斷 keyx 可誘導整房降級明文,E2EE,降級改 fail-visible:明文模式需使用者確認或預設拒送,P1,高
R3,Medium,RoomKeyCoordinator,keyx 名冊形成期瞬時不一致,RoomKeyCoordinator 檔尾誠實邊界註解,形成期短暫錯封/漏封金鑰,E2EE,名冊收斂事件化+輪替即時觸發,P2,高
R4,Medium,RoomService/rules,離開者 meshIdentity 殘留,leaveRoom 只縮 participants 不清 meshIdentities(以交集補救),前向保密依賴交集正確性與 epoch 輪替,E2EE,離開時清理或 rules 層 TTL,P2,中
R5,Medium,CreditLedger,earn 不強制收據參照,CreditLedger.ts 註解(正當性屬上游層)+append 型別無 receiptRef,呼叫端繞過收據即可加點(本地帳本範圍),點數帳本,append 型別強制 receiptRef 並在內部 verify,P2,高
R6,Medium,Firestore metadata,時間戳/成員/deps/seq 明文,EncryptedChatPayload.deps 設計註解(明文 metadata)+signaling 文件,伺服器可做社交圖與活動模式分析,E2EE(metadata),文件化威脅模型;長期做 metadata 最小化,P3,高
R7,Medium,GossipReplicaStore,reserveSeq 持久失敗退記憶體遞增,GossipMessageHandler sendMessage 的 catch 分支(fallback to memory seq),罕見情境下 seq 碰撞致訊息被當重複丟棄,恰好一次,fallback 改帶會話隨機高位或直接拒送重試,P2,高
R8,Medium,CI,e2e stable 與 npm audit 皆軟閘,.github/workflows/ci.yml continue-on-error: true,核心不變量迴歸不擋 merge,全部(制度面),SDK 隔離 gate 立即硬閘;e2e 穩定兩週後翻硬,P1,高
R9,Low,架構,Firebase 為 signaling/發現可用性單點,預設 adapter 唯一後端(注入縫已開),Firebase 中斷期間無法建新連線(既有 DataChannel 不受影響),可用性,產品面提供第二後端或自架 signaling 部署文件,P3,高
R10,Low,SDK,惡意 adapter 專項測試缺席,sdk 注入縫測試僅覆蓋正常行為,端上驗證推論自足但未實證(標推論),身分/授權,補惡意 directory/signaling 契約測試(壞資料/重放/亂序),P3,中
